login,alloc_type,experiment,time
dron_a_a,T*,10,16.052
dron_a_a,T*,10,9.311
dron_a_a,T*,10,8.758
dron_a_a,T*,10,8.513
dron_a_a,T*,10,8.543
dron_a_a,T*,10,12.77
dron_a_a,T*,10,8.481
dron_a_a,T*,10,8.561
dron_a_a,T*,10,8.482
dron_a_a,T*,10,8.558
dron_a_a,T*,10,8.502
dron_a_a,T*,10,24.546
dron_a_a,T*,10,8.648
dron_a_a,T*,10,8.477
dron_a_a,T*,10,8.501
dron_a_a,T*,110,12.5211
dron_a_a,T*,110,10.1284
dron_a_a,T*,110,4.09319
dron_a_a,T*,110,3.43716
dron_a_a,T*,110,3.02189
dron_a_a,T*,110,2.75244
dron_a_a,T*,110,2.5746
dron_a_a,T*,110,2.3358
dron_a_a,T*,110,2.3035
dron_a_a,T*,110,2.20176
dron_a_a,T*,110,2.25439
dron_a_a,T*,110,2.24691
dron_a_a,T*,110,2.19884
dron_a_a,T*,110,2.19936
dron_a_a,T*,110,2.19851
dron_a_a,T*,210,3.17804
dron_a_a,T*,210,3.22461
dron_a_a,T*,210,3.18954
dron_a_a,T*,210,3.20456
dron_a_a,T*,210,3.19304
dron_a_a,T*,210,3.22704
dron_a_a,T*,210,3.19927
dron_a_a,T*,210,3.23584
dron_a_a,T*,210,3.1991
dron_a_a,T*,210,3.21679
dron_a_a,T*,210,3.21623
dron_a_a,T*,210,3.23775
dron_a_a,T*,210,3.19281
dron_a_a,T*,210,3.62382
dron_a_a,T*,210,3.20738
dron_a_a,T*,310,3.13782
dron_a_a,T*,310,3.14736
dron_a_a,T*,310,3.20188
dron_a_a,T*,310,3.18011
dron_a_a,T*,310,3.18029
dron_a_a,T*,310,3.17421
dron_a_a,T*,310,3.14027
dron_a_a,T*,310,3.15193
dron_a_a,T*,310,3.1383
dron_a_a,T*,310,3.22196
dron_a_a,T*,310,3.17076
dron_a_a,T*,310,3.13033
dron_a_a,T*,310,3.21875
dron_a_a,T*,310,3.34828
dron_a_a,T*,310,3.32329
dron_a_a,T*,410,3.29646
dron_a_a,T*,410,3.47112
dron_a_a,T*,410,3.30977
dron_a_a,T*,410,3.16672
dron_a_a,T*,410,3.16201
dron_a_a,T*,410,3.18551
dron_a_a,T*,410,3.1503
dron_a_a,T*,410,3.18472
dron_a_a,T*,410,3.19579
dron_a_a,T*,410,3.15768
dron_a_a,T*,410,3.17992
dron_a_a,T*,410,3.17202
dron_a_a,T*,410,3.15666
dron_a_a,T*,410,3.14607
dron_a_a,T*,410,3.1974
dron_a_a,T*,510,3.15192
dron_a_a,T*,510,3.31206
dron_a_a,T*,510,3.40024
dron_a_a,T*,510,3.44575
dron_a_a,T*,510,3.32242
dron_a_a,T*,510,3.46888
dron_a_a,T*,510,3.31597
dron_a_a,T*,510,3.35743
dron_a_a,T*,510,3.19677
dron_a_a,T*,510,3.30246
dron_a_a,T*,510,3.27547
dron_a_a,T*,510,3.2663
dron_a_a,T*,510,3.286
dron_a_a,T*,510,3.38096
dron_a_a,T*,510,3.46461
dron_a_a,T*,610,3.53367
dron_a_a,T*,610,3.40756
dron_a_a,T*,610,3.35069
dron_a_a,T*,610,3.42701
dron_a_a,T*,610,3.43481
dron_a_a,T*,610,3.64665
dron_a_a,T*,610,4.0521
dron_a_a,T*,610,3.41906
dron_a_a,T*,610,3.41981
dron_a_a,T*,610,3.34819
dron_a_a,T*,610,3.46246
dron_a_a,T*,610,3.31337
dron_a_a,T*,610,3.44817
dron_a_a,T*,610,3.26548
dron_a_a,T*,610,3.27095
dron_a_a,T*,710,3.74367
dron_a_a,T*,710,3.49855
